,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,timestamp
10,Thu Jun 17 06:27:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","That Inbuilt Attitude !!

Offscreen lo Kuda Mass Hero Material Anna Nuv 🦁🔥

Caption this one With Something Elevating, Mine Will ""BALUPU, C/O GELUPU"" 🥁🥁

#ManOfMassesRamCharan @AlwaysRamCharan https://t.co/AcKcDP1X0C",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,CultCharanism,98040,1389,1988,,,RamCharanERA,,"Ponduru,Srikakulam",2021-06-17 06:27:03+00:00
11,Thu Jun 17 06:27:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sln teaser trailer views &amp; trailer likes &gt; AVPl Mind block flop song day 1views &gt; nakka chartbuster song views day1 
East sln &gt; avpl &amp; Guntur West almost 
Nizam some what 

2.75 SLN 3.25 AVPL
Aina Kuda pandabetti Dengadu konni territories lo 

Aina Kuda AAth gaadidhi nakuthunnav",Sln teaser trailer views amp trailer likes gt AVPl Mind block flop song day views gt nakka chartbuster song views day1 East sln gt avpl amp Guntur West almost Nizam SLN AVPLAina Kuda pandabetti Dengadu konni territories lo Aina Kuda AAth gaadidhi nakuthunnav,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,MassDHF07011920,20021,156,297,,,SandeepMBcult_,,,2021-06-17 06:27:06+00:00
12,Thu Jun 17 06:27:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rc Box -Office Wise Ok 👍

But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu 

Box -Office and Fanbase Anyday

Tarak &gt;&gt;&gt;&gt;&gt; RAM charan

Ah Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe Ga

Nen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa
#ManOfMassesNTR",Rc Box -Office Wise Ok But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu Box -Office Fanbase AnydayTarak gt gt gt gt gt RAM charanAh Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe GaNen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa,"Sentiment(polarity=0.1333333333333333, subjectivity=0.7999999999999999)",0.1333333333333333,0.7999999999999999,en,0,0,Amigo9999_,19048,132,1084,,,Teja_Cult_DHFM,,India,2021-06-17 06:27:07+00:00
13,Thu Jun 17 06:27:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu @NTRFansRJY Brothers   meraina react avvandi friends.. Panthulu dhaanalaku, kuda  money ledhu  plz avaraina help cheyandi..
Avaraina rajahmundry vallu vunte godavari dagara vunnam  Randi  please 🙏
@RHitmanfans chudu Bro",Bag poeyindhi ani Tweet pedithe kaanisam react avvatledhu Brothers meraina react avvandi friends .. Panthulu dhaanalaku kuda money ledhu plz avaraina help cheyandi .. Avaraina rajahmundry vallu vunte godavari dagara vunnam Randi please chudu Bro,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,et,0,0,ManofMassessNTR,10719,860,947,,,"dhamodarpilla, NTRFansRJY",,,2021-06-17 06:27:13+00:00
14,Thu Jun 17 06:27:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rc Box -Office Wise Ok 👍

But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu 

Box -Office and Fanbase Anyday

Tarak &gt;&gt;&gt;&gt;&gt; RAM charan

Ah Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe Ga

Nen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa
#ManOfMassesNTR",Rc Box -Office Wise Ok But Fan Base Lo Ite Tier-2 Kindha Consider Cheyachhu Box -Office Fanbase AnydayTarak gt gt gt gt gt RAM charanAh Box Office Records Kuda Mana Chiru Mafia Gurinchi Telisindhe GaNen RC MB Mutual Ni Tarak Medha Abusive tweets kuda vesa,"Sentiment(polarity=0.1333333333333333, subjectivity=0.7999999999999999)",0.1333333333333333,0.7999999999999999,en,0,0,doddaiah_gowda,153103,1481,482,,,Teja_Cult_DHFM,,"Pavagada, India",2021-06-17 06:27:17+00:00
15,Thu Jun 17 06:27:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Acofi Gestion s’associe à la #fintech @RollingFunds pour financer les #TPE #PME européennes https://t.co/cMSmDdAuSb #crédit #trésorerie #financement #digital @AFI_ESCA @SoubienA,Acofi Gestion sassocie la pour financer les europennes,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,fr,0,0,tberberian,467,30,88,False,"fintech, TPE, PME","PlanetFintech, RollingFunds",,,2021-06-17 06:27:20+00:00
16,Thu Jun 17 06:27:21 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SpirosMargaris: A #Guide On How To Become A #DataScientist 

( #StepByStep Approach )  

https://t.co/KvMCPuDmGr #fintech #AI #ArtificialIntelligence #MachineLearning #BigData #futureofwork https://t.co/I5hUcVrabu",A On How To Become A Approach,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,chidambara09,1521346,9298,13,False,"Guide, DataScientist, StepByStep","FintechFor, SpirosMargaris",,Mysore  and  BERLIN,2021-06-17 06:27:21+00:00
17,Thu Jun 17 06:27:22 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Njing!! Kontol kuda. Enak beud bangsatttt!
.
Join mabokin kurir paket J-- dgn salah 1 followers babang
Durasi full 4 menit 21 detik
Hari ini akan tersedia di NEW Gdrive @aboutstr8
📬DM for info JOIN / Reinvite(s&amp;k berlaku)

📥https://t.co/sWuysT7GfC
📥https://t.co/skt0KoC02d https://t.co/JkZdllIEWQ",Njing Kontol kuda Enak beud bangsatttt .Join mabokin kurir paket J -- dgn salah followers babangDurasi full menit detikHari ini akan tersedia di NEW Gdrive info JOIN Reinvite amp k berlaku,"Sentiment(polarity=0.24318181818181817, subjectivity=0.5022727272727273)",0.24318181818181817,0.5022727272727273,in,0,0,brianmchitz,1488,41,1557,,,aboutstr8,,,2021-06-17 06:27:22+00:00
18,Thu Jun 17 06:27:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Selain penyapu, pihak polis Z10n1s juga pernah menahan &amp; merampas belon, layang layang, indomie, senapang plastik, pembesar suara, keldai, kuda &amp; bola. Semua ini dianggap dapat memberikan ancaman kepada 'keselamatan awam'. 🥴 https://t.co/Q4VVW2n1na https://t.co/mrqYWwclL8",Selain penyapu pihak polis Z10n1s juga pernah menahan amp merampas belon layang layang indomie senapang plastik pembesar suara keldai kuda amp bola Semua ini dianggap dapat memberikan ancaman kepada 'keselamatan awam,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,0,0,nabil_capone,9142,297,392,,,fakhrifadzli,,masaiiiiiii,2021-06-17 06:27:29+00:00
19,Thu Jun 17 06:27:30 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@SocieteGenerale et la #fintech @trustpair s'associent pour aider les #entreprises à lutter contre la #fraude au #virement https://t.co/Kwf93dvKnp #banque #ETI #paiement #Covid_19 #SaaS #finance #digitalisation @Baptiste_Collot,et la s'associent pour aider les lutter contre la au,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,fr,0,0,tberberian,468,30,88,,"fintech, entreprises, fraude","PlanetFintech, SocieteGenerale, trustpair",,,2021-06-17 06:27:30+00:00
20,Thu Jun 17 06:27:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Buy airtime across all networks from Mpesa even with Fuliza via @F_M_Networks paybill 555443
Account number; your phone number.  

#HowRutoSabotagedUhuru Kabando Locatelli Ramos #JKLive #javascript Arteta #SergioRamos #UhuruWaMamaMboga tony https://t.co/cHwIrAGreJ",Buy airtime across networks Mpesa even Fuliza via paybill Account number phone number Kabando Locatelli Ramos Arteta tony,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,leminmbunga,8869,4287,3349,,,"iamsoniah, F_M_Networks",,kenya🇰🇪,2021-06-17 06:27:31+00:00
21,Thu Jun 17 06:27:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Austria has the ""right"" grid tariffs and regulatory regimes to support #microgrids like the one @Siemens Campus in Vienna 
https://t.co/EXWzdIfGyg",Austria `` right '' grid tariffs regulatory regimes support like one Campus Vienna,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857,en,0,0,VIRALaboutGREEN,6874,1991,4934,,microgrids,"em_baumann, Siemens",,,2021-06-17 06:27:33+00:00
22,Thu Jun 17 06:27:35 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Innovations that’s makes you free to achieve!

#Npontu #service #consistent #AI #bigdata #ussd #kedebah #softwaredevelopment #deywuro #technology #Software #business #data #ArtificialIntelligence https://t.co/v6foAtROl7",Innovations thats makes free achieve,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,0,0,chidambara09,1521136,9297,13,,"Npontu, service, consistent, AI, bigdata, ussd, kedebah, softwaredevelopment",Npontu,,Mysore  and  BERLIN,2021-06-17 06:27:35+00:00
23,Thu Jun 17 06:27:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LOL

Swedish firm Lundin is selling ""carbon neutral"" oil

""The oil will be counted as carbon neutral from exploration, development &amp; so-called scope 1 &amp; 2 emissions, but…emissions caused by the oil's final use, or scope 3 emissions, are not included""

https://t.co/QIgt8a7zoT https://t.co/mRGbQaXgc2",LOLSwedish firm Lundin selling `` carbon neutral '' oil '' The oil counted carbon neutral exploration development amp so-called scope amp emissions butemissions caused oil 's final use scope emissions included '',"Sentiment(polarity=-0.1, subjectivity=0.7)",-0.1,0.7,en,0,0,GjPassau,837,199,180,,,DrSimEvans,,,2021-06-17 06:27:36+00:00
24,Thu Jun 17 06:27:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","la MANIA delle auto elettriche per le quali vengono investiti centinaia di miliardi (perchè costa di + tutta l'infrastruttura..) non serve a un tubo per le emissioni di Co2

se tutte le auto del mondo diventassero elettriche il CO2 emesso cala dell'1%

non c'è solo la ""pandemia""",la MANIA delle auto elettriche per le quali vengono investiti centinaia di miliardi perch costa di tutta l'infrastruttura .. non serve un tubo per le emissioni di Co2se tutte le auto del mondo diventassero elettriche il CO2 emesso cala dell 1 non c solo la `` pandemia '',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,it,0,0,ALisimberti,303348,4617,4991,,,gzibordi,,,2021-06-17 06:27:40+00:00
25,Thu Jun 17 06:27:41 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UNACCEPTABLE in a decent society - children should not live in this fear

'Talia, 11, said: ""I often think when I'm cycling to school I'm about to get run over.""'

@NorfolkCC promised complementary transport measures to go with NDR road👉 https://t.co/RC8FCfatwH

Where are they⁉️ https://t.co/9sKZ5dRm7H https://t.co/nMiBi23R7t",UNACCEPTABLE decent society children live fear'Talia said `` I often think I 'm cycling school I 'm get run '' promised complementary transport measures go NDR road,"Sentiment(polarity=0.1515151515151515, subjectivity=0.5833333333333333)",0.1515151515151515,0.5833333333333333,en,0,0,doctorpallavi,3135,318,169,,,Andrew9Boswell,,,2021-06-17 06:27:41+00:00
26,Thu Jun 17 06:27:43 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi @devindthorpe @AmazingChevVolt @enricomolinari @1o5CleanEnergy @climateguyw @PaulHBeckwith @StopAdaniCairns @SustMeme @leahstokes @debraruh @DanCas2 @armanwalker @Jackthelad1947 @HansLak @lmg1700 @Klinkmi @seth_leitman @BreezyLovinInWV @GeraldKutney @CapaTosta122 @kirillklip @blanketcrap @AntonBoym @alexharteco @smoothsale @THEnergyNet @suemarietta @lehimesa @joesegal @GretaThunberg @treacl @Wipapa5 @JimBair62221006 @golwgymor @JoseyRider @lahautj @bomber9996 #Solar+#Storage=Cheapest #Electricity Ever
Some Utilities Want U 2 Finance Failing, Deadly #Coal!

Kindly RT

#EnergyTransition #ClimateAction #CleanEnergy
#RenewableEnergy #EndCoal #Carbon
#ClimateCrisis #FridaysForFuture #SDGs
@SustainergyA @lauramarsh70
https://t.co/naXR9mja3M",+=Cheapest EverSome Utilities Want U Finance Failing Deadly Kindly RT //,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,0,0,slsandpet,546842,11780,3747,,,"arikring, Hazloe3, ProfStrachan, ECOWARRIORSS, ChristineMilne, ristori20, mzjacobson, charluv2011, BSuhic, NJdoc, ddelich, elder_jodi",,Aust,2021-06-17 06:27:43+00:00
27,Thu Jun 17 06:27:45 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","I don't want meat from Australia. Besides their ghastly animal welfare standards and the low quality of their meat compared to EU and UK meat, there's the inescapable fact that we should be reducing about our carbon footprint. But why are the farmers not protesting???",I n't want meat Australia Besides ghastly animal welfare standards low quality meat compared EU UK meat 's inescapable fact reducing carbon footprint But farmers protesting,"Sentiment(polarity=0.0, subjectivity=0.3)",0.0,0.3,en,0,0,mickmiller0,66857,226,212,,,artemis0801,,"Yate, Nr Bristol",2021-06-17 06:27:45+00:00
28,Thu Jun 17 06:27:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frankly asalu rayalaseema lo pk caste vallu ekkada unaru bro but akkada collections baga vastai pk ki asalu caste tho sambandham ledu,Frankly asalu rayalaseema lo pk caste vallu ekkada unaru bro akkada collections baga vastai pk ki asalu caste tho sambandham ledu,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,0,0,SairaamKalyan,108711,2101,1561,,,CNAmarnath,,"Hyderabad, India",2021-06-17 06:27:46+00:00
29,Thu Jun 17 06:27:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Line 3 = 50 coal fired power plants’ worth of carbon (more than MN’s entire state economy every year it operates). @POTUS if you are serious about climate, you must #StopLine3",Line coal fired power plants worth carbon MNs entire state economy every year operates serious climate must,"Sentiment(polarity=-0.011111111111111108, subjectivity=0.46388888888888885)",-0.011111111111111108,0.46388888888888885,en,0,0,TheRaiLurker,59689,223,158,,,"ResistLine3, POTUS",,A nightmare/USA. Same thing,2021-06-17 06:27:48+00:00
30,Thu Jun 17 06:27:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","That Inbuilt Attitude !!

Offscreen lo Kuda Mass Hero Material Anna Nuv 🦁🔥

Caption this one With Something Elevating, Mine Will ""BALUPU, C/O GELUPU"" 🥁🥁

#ManOfMassesRamCharan @AlwaysRamCharan https://t.co/AcKcDP1X0C",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FanboyBharath1,76264,379,689,,,RamCharanERA,,Hyderabad,2021-06-17 06:27:49+00:00
31,Thu Jun 17 06:27:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The world’s largest tropical peatlands could be destroyed if plans go ahead to drill for oil under the Congo basin, according to an investigation that suggests draining the area would release the same amount of carbon dioxide as Japan emits annually.

#SaveCongoRainforest https://t.co/lkt9sDt5uM",The worlds largest tropical peatlands could destroyed plans go ahead drill oil Congo basin according investigation suggests draining area would release amount carbon dioxide Japan emits annually,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,mathatchwell,8392,580,1003,,,PaulEDawson,,"Faversham,Kent",2021-06-17 06:27:52+00:00
32,Thu Jun 17 06:27:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#ThursdayTippaluTanthalu

When you become a house worker rather than being husband after marriage 😂😂

Trending Music Bit from #30Weds21 Ft @tarak9999 anna

❤️😍

Edits ante mass , emotionals , powerful bgms kadu ila kuda cheyachu ani chupistuna
@Amma_Nanna_NTR 🤭👌 https://t.co/7gGIKmxeEf",become house worker rather husband marriage Trending Music Bit Ft annaEdits ante mass emotionals powerful bgms kadu ila kuda cheyachu ani chupistuna,"Sentiment(polarity=0.3, subjectivity=1.0)",0.3,1.0,en,0,0,NTRdhoniFOREVER,40731,1767,1819,,ThursdayTippaluTanthalu,PUsif4141,,India,2021-06-17 06:27:56+00:00
33,Thu Jun 17 06:27:58 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","【ユーザーギャラリー #4】 レコーディング/ミキシング・エンジニアのグレゴリ・ジェルメン氏が語る！
オーディオ・インターフェース『Pro Tools | Carbon』の魅力。

↓実際使っていただいた感想や工夫など生の声をお届け
https://t.co/Q2hmflxsdR

#protoolscarbon #carbongallery #gregory_germain https://t.co/FHJWZ8Oede",/Pro Tools Carbon,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,ja,0,0,TACSYSTEM,1645,770,89,,,Avid_JPN,,東京都品川区上大崎3-5-1,2021-06-17 06:27:58+00:00
34,Thu Jun 17 06:27:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","That Inbuilt Attitude !!

Offscreen lo Kuda Mass Hero Material Anna Nuv 🦁🔥

Caption this one With Something Elevating, Mine Will ""BALUPU, C/O GELUPU"" 🥁🥁

#ManOfMassesRamCharan @AlwaysRamCharan https://t.co/AcKcDP1X0C",That Inbuilt Attitude Offscreen lo Kuda Mass Hero Material Anna Nuv Caption one With Something Elevating Mine Will `` BALUPU C/O GELUPU '',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,ForeverRcFan,10457,194,241,,,RamCharanERA,,India,2021-06-17 06:27:59+00:00
35,Thu Jun 17 06:28:01 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kicking off our FIS Fintech Founder Feature series is @oaknorth's  Rishi Khosla!
https://t.co/d0BxI4A7Jo

Learn about Khosla, and learn how OakNorth empowers the ""missing middle"" in the blog below!

#FISFintech #fintech #accelerator #entrepreneur",Kicking FIS Fintech Founder Feature series 's Rishi Khosla Khosla learn OakNorth empowers `` missing middle '' blog,"Sentiment(polarity=-0.1, subjectivity=0.025)",-0.1,0.025,en,0,0,pavey89,4062,405,1551,False,,"VentureCenter, OakNorth",,"Berkhamsted, England",2021-06-17 06:28:01+00:00
36,Thu Jun 17 06:28:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","currently could pass along dealflow for CPG, social, healthtech, apparel, and fintech. surely there’s a way I could monetize this but in the meantime just hmu if you want intros to founders I know raising or getting ready to raise that id back in a second.",currently could pass along dealflow CPG social healthtech apparel fintech surely theres way I could monetize meantime hmu want intros founders I know raising getting ready raise id back second,"Sentiment(polarity=0.12222222222222223, subjectivity=0.3092592592592593)",0.12222222222222223,0.3092592592592593,en,0,0,kanunchukwudi,3688,508,1902,,,hotgirlintech,,,2021-06-17 06:28:05+00:00
37,Thu Jun 17 06:28:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ippudu Celebs tho kuda NTR best actor ani ruddinchesaru antava

Boss aina NTR aina chesindi  commercials e NTR overrated ante Boss kuda overated e simple 
 https://t.co/nKn66Ysj74",Ippudu Celebs tho kuda NTR best actor ani ruddinchesaru antavaBoss aina NTR aina chesindi commercials e NTR overrated ante Boss kuda overated e simple,"Sentiment(polarity=0.5, subjectivity=0.32857142857142857)",0.5,0.32857142857142857,tl,0,0,kaNTRiTaLaSiLa,104892,2043,298,,,tamarind147,,turn around,2021-06-17 06:28:10+00:00
